"annotation_id","annotator","condition_label","created_at","id","lead_time","medical_abstract","sentiment","updated_at"
15,"1",5,"2024-04-06T20:36:44.097392Z",11,61.228,"Induction, blockade and restoration of a persistent hypersensitive state. A new model of chronic hypersensitivity was developed in the rat by daily intraplantar administration of either prostaglandin E2 dopamine or isoprenaline, for a period of 2 weeks. Like other hyperalgesic mediators, dibutyryl-cAMP, when applied to the paws, caused an acute effect but did not produce persistent hypersensitivity. The persistent hypersensitive state was not affected by a typical non-steroidal anti-inflammatory drug (indomethacin), was temporarily inhibited by a centrally acting analgesic (morphine), was partially inhibited by a protein synthesis inhibitor (cycloheximide) and abolished by a single dose of peripherally acting analgesics such as dipyrone or N-methyl morphine. Once the residual hypersensitivity had been abolished with dipyrone or N-methyl morphine, a small dose of prostaglandin E2, dopamine or Interleukin-1 beta, which in normal animals causes a mild and short lived effect, restored the persistent hypersensitive state. This ability to restore the persistent effect was not observed with intraplantar administration of dibutyryl-cAMP. Our results suggest the existence of a peripheral trace of inflammatory pain, a phenomenon which may be associated with stimulation of neuronal adenylate cyclase and protein synthesis. This concept may explain part of the puzzle of chronic inflammatory pain and lead to the development of new analgesics. ","general pathological conditions","2024-04-06T20:36:44.097392Z"
16,"1",5,"2024-04-06T20:36:58.314509Z",12,12.892,"Synergism of herpes simplex virus and tobacco-specific N'-nitrosamines in cell transformation. Previous studies indicate that herpes simplex virus (HSV) enhances the carcinogenic activity of smokeless tobacco and tobacco-related chemical carcinogens in animals. Since tobacco-specific N'-nitrosamines (TSNAs) such as N'-nitrosonornicotine (NNN) and 4-(N-methyl-N'-nitrosamino)-1-(3-pyridyl)-1-butanone (NNK) are major chemical carcinogens of smokeless tobacco and are known to be responsible for the development of oral cancers in smokeless tobacco users, the combined effects of TSNAs and HSV in cell transformation were investigated. Exposure of cells to NNN or NNK followed by virus infection resulted in a significant enhancement of transformation frequency when compared with that observed with chemical carcinogens or virus alone. This study suggests that TSNAs and HSV can interact together and show synergism in cell transformation. ","general pathological conditions","2024-04-06T20:36:58.314509Z"
17,"1",5,"2024-04-06T20:38:30.718609Z",13,89.167,"Esophageal involvement in pemphigus vulgaris: a clinical, histologic, and immunopathologic study. Eleven newly diagnosed patients and one patient with pemphigus vulgaris who relapsed underwent endoscopy of the upper gastrointestinal tract. Three patients had blisters or erosions and two had longitudinal lines of erythema in the esophageal mucosa. In four patients histopathologic examination showed findings of pemphigus vulgaris but direct immunofluorescence was positive in all patients. This study demonstrates that the immunopathologic disturbance in pemphigus vulgaris involves the entire length of the esophagus, although only some patients have clinical or histologic involvement. To the best of our knowledge this is the first histopathologic and direct immunofluorescence study of esophageal involvement in patients with untreated pemphigus vulgaris. ","general pathological conditions","2024-04-06T20:38:30.718609Z"
18,"1",4,"2024-04-06T20:39:13.989318Z",14,41.362,"A randomized double-blind crossover comparison of four rate-responsive pacing modes. The aim of this study was to compare, both subjectively and objectively, four modern rate-responsive pacing modes in a double-blind crossover design. Twenty-two patients, aged 18 to 81 years, had an activity-sensing dual chamber universal rate-responsive (DDDR) pacemaker implanted for treatment of high grade atrioventricular block and chronotropic incompetence. They were randomly programmed to VVIR (ventricular demand rate-responsive), DDIR (dual chamber demand rate-responsive), DDD (dual chamber universal) or DDDR (dual chamber universal rate-responsive) mode and assessed after 4 weeks of out-of-hospital activity. Five patients, all with VVIR pacing, requested early reprogramming. The DDDR mode was preferred by 59% of patients; the VVIR mode was the least acceptable mode in 73%. Perceived ""general well-being,"" exercise capacity, functional status and symptoms were significantly worse in the VVIR than in dual rate-responsive modes. Exercise treadmill time was longer in DDDR mode (p less than 0.01), but similar in all other modes. During standardized daily activities, heart rate in VVIR and DDIR modes underresponded to mental stress. All rate-augmented modes overresponded to staircase descent, whereas the DDD mode significantly underresponded to staircase ascent. Echocardiography revealed no difference in chamber dimensions, left ventricular fractional shortening or pulmonary artery pressure in any mode. Cardiac output was greater at rest in the dual modes than in the VVIR mode (p = 0.006) but was similar at 120 beats/min. Beat to beat variability of cardiac output was greatest in VVIR mode (p less than 0.0001), with DDIR showing greater variability than DDD or DDDR modes (p less than 0.05). Mitral regurgitation estimated by Doppler color flow imaging was similar in all modes, but tricuspid regurgitation was significantly greater in VVIR than in dual modes (p less than 0.03). Subjects who preferred the DDDR mode and those who found the VVIR mode least acceptable had significantly greater increases in stroke volume when paced in the DDD mode than in the ventricular-inhibited (VVI) mode at rest (22%) when compared with subjects who preferred other modes (2%, p = 0.03). No other objective variable was predictive of subjective benefit from any rate-responsive pacing mode. Thus, dual sensor rate-responsive pacing (DDDR) is superior objectively and subjectively to single sensor (VVIR, DDIR and DDD) pacing and subjective benefit from dual chamber rate-augmented pacing is predictable echocardiographically. ","cardiovascular diseases","2024-04-06T20:39:13.989318Z"
19,"1",4,"2024-04-06T20:40:19.231432Z",15,63.072,"Effects of pressure and volume of the receiving chamber on the spatial distribution of regurgitant jets as imaged by color Doppler flow mapping. An in vitro study. Regurgitant jet dimensions imaged by color Doppler flow mapping have been used to evaluate the severity of valvular insufficiency in clinical studies. To study the effect of pressure and volume within the receiving chamber on the magnitude of spatial distribution of regurgitant jets assessed by color Doppler techniques, we designed a simple constant-flow model in which a jet was driven through a known orifice (1.5 mm2) into a compliant receiving chamber by a steady-flow pump. A distal tube at the outflow closed the system and maintained the volume of the chamber constant during pump operation. We varied flow rate from 60 to 270 ml/min into elastic balloons with different static compliances of 1, 2, 4.5, and 9 ml/mm Hg (pressures of 57, 28, 18, and 8 mm Hg, respectively); the balloons served as receiving chambers at the constant volume of 150 ml. We also evaluated the effect of different volumes of a receiving chamber (110, 130, and 150 ml and pressures of 5, 15, and 24 mm Hg) with a static compliance of 2 ml/mm Hg over the same range of flow rates. For each of the different balloons, jet area correlated linearly with the jet velocity across the orifice (r = 0.98, 0.99, 0.98, and 0.97) and also with flow rate (r = 0.97, 0.99, 0.98, and 0.99). At the same flow rate and volume of receiving chamber, however, the jet area imaged by color Doppler decreased as the pressure in the receiving chamber increased, although receiving-chamber volume was constant. ","cardiovascular diseases","2024-04-06T20:40:19.231432Z"
20,"1",5,"2024-04-06T20:40:52.001674Z",16,30.617,"Effect of left ventricular aneurysm on risk of sudden and nonsudden cardiac death. Although left ventricular (LV) aneurysm is associated with increased mortality, its independent prognostic significance is controversial. To determine the effect of LV aneurysm on risk, 121 patients with healed myocardial infarction (MI), 55 manifesting akinesia on ventriculography (MI group) and 66 with LV aneurysm characterized by diastolic deformity (eccentricity) and systolic dyskinesia (LV aneurysm group) were studied. At a mean follow-up of 5.7 years, there were 32 cardiac deaths (12 MI vs 20 LV aneurysm), including 9 sudden deaths (1 MI vs 8 LV aneurysm). Multivariate analysis revealed decreasing ejection fraction to be the best predictor of total cardiac death, and revascularization to be protective. Nonsudden cardiac death was predicted by ejection fraction, absence of revascularization and right coronary artery disease, whereas sudden cardiac death was predicted by LV aneurysm and the frequency of ventricular ectopic complexes on Holter monitoring. In the MI group, ejection fraction was the only significant predictor of total cardiac death and nonsudden cardiac death. In the LV aneurysm group, total cardiac death, as well as nonsudden cardiac death, were predicted by ejection fraction, ventricular tachycardia and right coronary artery disease, whereas ventricular tachycardia predicted sudden cardiac death. It is concluded that the risk profile for total cardiac death differs between LV aneurysm and MI patients, and that LV aneurysm constitutes an independent predictor of late sudden cardiac death after MI. Moreover, on a substrate of LV aneurysm, the risk factors for sudden cardiac death and nonsudden cardiac death differ, with ventricular tachycardia being the sole predictor of sudden cardiac death. Furthermore, Holter monitoring is valuable in identifying patients at persistent risk of sudden cardiac death. ","cardiovascular diseases","2024-04-06T20:40:52.001674Z"
21,"1",5,"2024-04-06T20:41:38.646739Z",17,43.997,"Trends in thirty years of vaginal hysterectomy. Vaginal hysterectomy, as currently performed at the University of Vienna, was first described by Halban in 1932. From 1955 to 1985, a total of 9,967 hysterectomies were performed. The vaginal route was used for 6,078 (60.9 per cent) of these procedures. Sixty-four per cent of the women operated upon were multiparous, 27 per cent were uniparous and 8 per cent were nulliparous. A comparison of the periods 1955 to 1975 and 1976 to 1985 revealed the following trends: the incidence of uterine myomas (30.6 to 27.1 per cent), in situ carcinoma of the cervix (6.5 to 7.9 per cent) and endometrial carcinoma (1.4 to 0.6 per cent) remained largely constant. In the past decade, indications for positional abnormalities (uterine descent and prolapse) were encountered more often (27.6 to 41.6 per cent) than in the first observation period, while the incidence of recurrent metrorrhagia was found to decline (33.9 to 22.8 per cent). The most common complications included hemorrhage during the operation, lesions of the bladder, hemorrhage until 48 hours after surgical treatment and hemorrhage from days 2 to 14 postoperatively (around 0.5 per cent, respectively). During the second observation period, no postoperative fistulas developed. Two instances of tubal prolapse were seen. Laparotomy was done in four of 6,078 instances. Two patients died of septic complications. Whenever possible, we prefer vaginal hysterectomy because of its low complication rate, low mortality rate and low postoperative morbidity. ","general pathological conditions","2024-04-06T20:41:38.646739Z"
22,"1",3,"2024-04-06T20:42:41.543037Z",18,55.841,"Magnetic resonance imaging of radiation optic neuropathy. Three patients with delayed radiation optic neuropathy after radiation therapy for parasellar neoplasms underwent magnetic resonance imaging. The affected optic nerves and chiasms showed enlargement and focal gadopentetate dimeglumine enhancement. The magnetic resonance imaging technique effectively detected and defined anterior visual pathway changes of radionecrosis and excluded the clinical possibility of visual loss because of tumor recurrence. ","nervous system diseases","2024-04-06T20:42:41.543037Z"
23,"1",5,"2024-04-06T20:42:54.557504Z",19,11.772,"Signs, complications, and platelet aggregation in familial exudative vitreoretinopathy. Between 1979 and 1989, I examined 106 patients (16 pedigrees) with signs of familial exudative vitreoretinopathy. Of these patients, 101 had familial exudative vitreoretinopathy, and five had a sporadic manifestation. The complications of familial exudative vitreoretinopathy, deformation of the posterior retina, vitreous hemorrhage, amblyopia, and retinal detachment, caused diminished visual acuity. Of 170 eyes, retinal neovascularization was observed in 18 eyes (11%), and retinal exudates were observed in 16 eyes (9%). Several forms of retinal detachment occurred in 37 of 180 eyes (21%), which often took an unfavorable course. A falciform retinal fold was observed in 14 eyes (8%). Retinal surgery was performed in 14 eyes; reattachment of the retina was successful in only seven eyes. Platelet aggregation studies disclosed no significant differences between seven patients with familial exudative vitreoretinopathy and ten control subjects. The pathogenesis of the disease is based on a premature arrest of the vascular development of the retina. ","general pathological conditions","2024-04-06T20:42:54.557504Z"
24,"1",4,"2024-04-06T20:43:28.013603Z",20,31.575,"Brain and liver angiotensinogen messenger RNA in genetic hypertensive and normotensive rats. The brain's renin-angiotensin system in integrally involved in the regulation of blood pressure and fluid/mineral metabolism. Enhanced activity of the angiotensin system in the brain has been implicated as a possible source of the hypertension and the elevated salt appetite of the spontaneously hypertensive rat, as compared with the Wistar-Kyoto rat. This study tested whether these inbred strains of hypertensive and normotensive rats differ in central or peripheral expression of the gene coding for angiotensinogen, the prohormone for the angiotensin peptides. Angiotensinogen messenger RNA was measured in the brain by in situ hybridization and in the liver by Northern blot analysis, using a synthetic oligonucleotide. There was a 28% greater expression of the angiotensinogen gene in the region of the anteroventral hypothalamus, preoptic area, and medial septum of the hypertensive strain. There were no differences between strains in liver angiotensinogen gene expression. These results are consistent with the possibility that enhanced elaboration of the angiotensin prohormone in the brain contributes, in part, to the hypertension or the elevated salt appetite of the spontaneously hypertensive rat. ","cardiovascular diseases","2024-04-06T20:43:28.013603Z"
25,"1",1,"2024-04-06T20:44:41.137629Z",21,71.366,"Pulmonary blastoma with malignant melanoma component. Pulmonary blastomas are rare primary tumors that consist of tubular or glandular structures embedded in an undifferentiated mesenchymal stroma. Focal cartilage, bone, and skeletal muscle as well as squamous differentiation have been described in these tumors. We report a unique case of a pulmonary blastoma showing a malignant melanoma component. Immunohistochemical stains for S100 protein and HMB-45 were positive in the areas of melanocytic differentiation. ","neoplasms","2024-04-06T20:44:41.137629Z"
26,"1",5,"2024-04-06T20:44:53.462107Z",22,10.532,"Chronic illness and depressive symptoms in the elderly: a population-based study. A cross-sectional study of the distribution of depressive symptoms and association between depressed mood and chronic illness was conducted in a geographically defined population in southern California of 1617 men and women aged 65 years and older. The prevalence of depressed mood for the total population was 5.2%. Women exhibited a significantly higher mean depressive symptom score and a prevalence rate almost twice that of men. Depressive symptoms were associated with several risk factors in both sexes, including age, self-perception of current health status, number of reported chronic diseases and medications and amount of exercise. However, the relationship between physical illness and depressive symptoms appeared to differ by sex with respect to the nature of the disease or disability and the type of medication currently used. These findings indicate that the risk of depression does not diminish with age among the elderly as other studies have suggested. ","general pathological conditions","2024-04-06T20:44:53.462107Z"
27,"1",5,"2024-04-06T20:45:36.973079Z",23,42.02,"The importance of cytogenetic studies in adult acute lymphocytic leukemia. PURPOSE: The prognostic importance of pretreatment bone marrow cytogenetic studies in adults with acute lymphocytic leukemia treated at a single institution, with an identical treatment program, is described. PATIENTS AND METHODS: A total of 105 patients with a documented morphologic diagnosis of acute lymphocytic leukemia were reviewed for the purpose of this analysis. All patients had an extensive workup at presentation, and cytogenetic analysis was performed in 103 patients, using the Giemsa banding technique with trypsin pretreatment on 24-hour cultured cells. RESULTS: The specific cytogenetic classification in the 103 patients who had the karyotypic analysis was as follows: diploid 27%; Philadelphia chromosome-positive 13%; hyperdiploid 12%; B-cell karyotype 6%; 6q- and 14q+ abnormalities 4%; pseudodiploid 8%; hypodiploid 2%; and insufficient metaphases 28%. B-cell, 6q- or 14q+, and Philadelphia chromosome-positive karyotypes tended to correlate with other known negative prognostic factors. Patients with diploid, hyperdiploid, pseudodiploid, and hypodiploid karyotypes or with insufficient metaphases could be combined into one group with a favorable prognosis. In this group, the remission rate with induction chemotherapy was 89%, the median complete remission duration was 26 months, and the median survival was 25 months, with a 3-year survival rate of 45%. Patients with Philadelphia chromosome-positive, B-cell, and 6q- or 14q+ abnormalities collectively had an unfavorable prognosis. Their response rate to induction chemotherapy was 65%, the median response duration was 7 months, and the median survival was 8 months, with a 3-year survival rate of less than 10%. CONCLUSION: We conclude that the pretreatment bone marrow karyotype is an important part of the evaluation of adults with acute lymphocytic leukemia and provides significant prognostic information. ","neoplasms","2024-04-06T20:45:36.973079Z"
28,"1",5,"2024-04-06T20:46:11.165810Z",24,16.349,"Urovirulence determinants in Escherichia coli isolates causing first-episode and recurrent cystitis in women. To assess the prevalence of urovirulence determinants among Escherichia coli isolates from women with acute uncomplicated cystitis, 121 isolates from 87 women with first-episode or recurrent cystitis and 156 fecal isolates from 52 women without recent urinary tract infection were tested using DNA probes for P fimbriae, hemolysin, aerobactin, and diffuse adhesin and for expression of hemolysin and P and F adhesins. P fimbrial genotype (P = .002), hemolysin phenotype (P = .007), and the diffuse adhesin determinant (P = .03), but not aerobactin, were found more frequently in E. coli from women with acute cystitis, and expression of the F adhesin (41%) was more common than the P adhesin (24%; P = .001). E. coli isolates that caused cystitis in women using diaphragms had fewer virulence determinants than those from nonusers (P = .04), suggesting that diaphragm use may allow infection with less virulent E. coli. ","general pathological conditions","2024-04-06T20:46:11.165810Z"
29,"1",3,"2024-04-06T20:47:00.963378Z",25,47.922,"Unusual blink reflex with four components in a patient with periodic ataxia. Characteristic findings in blink reflex are reported in a 55-year-old female with periodic ataxia. The blink reflexes on the side ipsilateral to the stimulation consisted of four components with latencies of 11, 21, 35 and 47 ms, instead of the usual two components seen in normal subjects. On the contralateral side, the last three components were also present. The second component was different from the normal R2 response in that its latency was shorter than normal and it did not habituate by stimulation at a rate of 10 Hz. In addition, it was more affected by diazepam than the third or fourth components. It is considered that R2 may have consisted of three components and that a shorter latency of the second component could be explained by facilitation. ","nervous system diseases","2024-04-06T20:47:00.964375Z"
30,"1",5,"2024-04-06T20:47:15.301308Z",26,12.983,"Human immunodeficiency virus associated with thrombotic thrombocytopenic purpura: successful treatment with zidovudine. Thrombocytopenia associated with human immunodeficiency virus (HIV) is well described, and two recent reports show a beneficial effect with the antiretroviral agent zidovudine (ZDV). HIV-associated thrombotic thrombocytopenic purpura (TTP) has recently been observed, but the use of ZDV for it has not been previously described. We have reported a case of relapsing TTP in an HIV-positive man who achieved remission with plasmapheresis and antiplatelet therapy initially, but multiple relapses necessitated the addition of vincristine and ZDV to induce a sustained remission. ","general pathological conditions","2024-04-06T20:47:15.301308Z"
31,"1",5,"2024-04-06T20:47:35.377466Z",27,18.809,"Nipple discharge in women. Is it cause for concern? Nipple discharge is one of the most common breast complaints in women. Galactorrhea (milky discharge) may occur during pregnancy or breast-feeding or as a result of drug therapy, hypothyroidism, or hyperthyroidism. Nonbloody discharge is most common and is usually benign. Bloody discharge should be considered a sign of cancer until proved otherwise. Persistent galactorrhea and nonbloody discharge can be treated by transecting the mammary ducts. Simple mastectomy may be appropriate in patients with persistent bloody discharge who have a strong family history of breast cancer. ","general pathological conditions","2024-04-06T20:47:35.377466Z"
32,"1",2,"2024-04-06T20:48:12.189594Z",28,34.975,"Blunt trauma of the abdomen in children. Abdominal trauma in children is usually due to motor vehicle accidents or falls, but child abuse is also a common cause. Injuries to the small intestine are particularly worrisome because symptoms may not appear for hours, days, or even weeks. This can cause significant difficulty for the investigator trying to determine when an injury occurred, or who may have caused it. ","digestive system diseases","2024-04-06T20:48:12.189594Z"
33,"1",3,"2024-04-06T20:48:41.426425Z",29,27.578,"Trends in systolic blood pressure, 24-hour sodium excretion, and stroke mortality in the elderly in Belgium. Data from six surveys of systolic blood pressure conducted in Belgium between 1967 and 1986 were analyzed. The mean ages of the six groups of 3,328 subjects ranged from 70 to 81 years. The prevalence of systolic blood pressure levels above 159 mm Hg decreased between 1967 and 1986 from 51% to 21% in men and 66% to 22% in women; severe hypertension (systolic blood pressure greater than 220 mm Hg) nearly disappeared. During the same period, body mass index increased 1.1 kg/m2 in men and was unchanged in women; mean systolic blood pressure decreased from 159 to 142 mm Hg in men and from 171 to 147 mm Hg in women; the proportion of subjects receiving treatment for hypertension increased from 10% to 36% in men and from 18% to 41% in women; and the mean standardized 24-hour sodium excretion decreased from 265 to 188 mmol in men and from 208 to 160 mmol in women. Systolic blood pressure levels were significantly and independently related to sodium excretion in the 1967 and 1972 studies. The decrease in systolic blood pressure in Belgium was influenced by the combined effects of more and better treatment for hypertension and a decrease in sodium intake. ","cardiovascular diseases","2024-04-06T20:48:41.426425Z"
34,"1",5,"2024-04-06T20:49:37.583703Z",30,30.636,"Amelioration of cholinergic-induced pancreatitis with a selective cholecystokinin receptor antagonist. Acute edematous pancreatitis follows excessive cholinergic stimulation in patients exposed to anticholinesterase-containing insecticides. We describe the role of cholecystokinin and the benefits of cholecystokinin receptor blockade in this form of pancreatitis. A cholinergic mimetic (carbachol) was administered to rats weighing 300 to 350 g and produced a form of edematous pancreatitis that mimics that seen in humans. Animals received carbachol intraperitoneally, either alone (250 micrograms/kg of body weight) or with cholecystokinin-receptor antagonist devazepide (3 mg/kg of body weight) and were killed 4 hours later. Carbachol administration resulted in a 19% increase in pancreatic weight, a fourfold increase in serum amylase levels, and a 14-fold increase in serum lipase levels. Plasma cholecystokinin levels, however, were not altered. Devazepide administered prior to cholinergic hyperstimulation blocked pancreatic weight increase and reduced elevations in serum amylase levels twofold and lipase levels fourfold. Although cholecystokinin levels are not elevated in this model of pancreatitis, blockade of even low, background concentrations of this regulatory peptide is beneficial. ","digestive system diseases","2024-04-06T20:49:37.583703Z"
